index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
1781	2003	Unprovoked	BRAZIL	Swimming	Right hand lacerated	0	1	0	0
1782	2003	Unprovoked	USA	Surfing	Right leg bitten	0	1	0	0
1783	2003	Unprovoked	USA	Surfing	Survived	0	1	0	0
1784	2003	Unprovoked	USA	Surfing	Left foot bitten	0	1	0	0
1785	2003	Unprovoked	USA	Surfing	Small lacerations to foot	0	1	0	0
1786	2003	Unprovoked	USA	Surfing	Left ankle bitten or right foot	0	1	0	0
1787	2003	Unprovoked	USA	Jumping	Left foot bitten	0	1	0	0
1788	2003	Unprovoked	USA	Surfing	2 lacerations on left thigh	0	1	0	0
1789	2003	Unprovoked	USA	Swimming (using a float)	Left calf lacerated	0	1	0	0
1790	2003	Unprovoked	VENEZUELA	Surfing	Right foot bitten, left leg severed	0	1	0	0
1791	2003	Unprovoked	USA	Surfing	Arm lacerated	0	1	0	0
1792	2003	Unprovoked	USA	Surfing	Left hand and wrist bitten	0	1	0	0
1793	2003	Provoked	USA	Petting captive sharks	Hand nipped PROVOKED INCIDENT	0	1	0	0
1794	2003	Unprovoked	NEW ZEALAND	Scuba diving	Arm lacerated (shark made 3 strikes)	0	1	0	0
1795	2003	Unprovoked	AUSTRALIA	Wading	Ankle lacerated	0	1	0	0
1796	2003	Unprovoked	USA	Swimming	Left hand bitten	0	1	0	0
1797	2003	Unprovoked	AUSTRALIA	Swimming	Puncture wounds on heel, legs and buttocks	0	1	0	0
1798	2003	Unprovoked	AUSTRALIA	Swimming	FATAL	1	0	0	0
1799	2003	Invalid	SOUTH AFRICA	Unknown	Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th	0	0	0	1
1800	2003	Unprovoked	COSTA RICA	Surfing	Lower right leg lacerated	0	1	0	0
1801	2003	Unprovoked	AUSTRALIA	Surfing	No injury, but her surfboard was bitten	0	1	0	0
1802	2002	Unprovoked	AUSTRALIA	Snorkeling	Left arm lacerated	0	1	0	0
1803	2002	Unprovoked	SOUTH AFRICA	Snorkeling	Forearms lacerated	0	1	0	0
1804	2002	Unprovoked	AUSTRALIA	Scuba diving	Groin bitten	0	1	0	0
1805	2002	Invalid	AUSTRALIA	Swimming	Foot lacerated	0	0	0	1
1806	2002	Unprovoked	AUSTRALIA	Swimming	FATAL	1	0	0	0
1807	2002	Unprovoked	BRAZIL	Surfing	FATAL	1	0	0	0
1808	2002	Unprovoked	MICRONESIA	Scuba diving	Minor injury to right calf	0	1	0	0
1809	2002	Unprovoked	USA	Body boarding	Both legs severely lacerated	0	1	0	0
1810	2002	Unprovoked	USA	Swimming	Right shoulder forarm & wrist bitten	0	1	0	0
1811	2002	Unprovoked	TURKS  CAICOS	Snorkeling	Right upper am, shoulder & back severely  bitten	0	1	0	0
1812	2002	Unprovoked	USA	Surfing	1.5-inch laceration	0	1	0	0
1813	2002	Unprovoked	USA	Boogie boarding	Puncture wounds on right foot	0	1	0	0
1814	2002	Unprovoked	FRENCH POLYNESIA	Fishing, standing in 2' of water	Shin bruised	0	1	0	0
1815	2002	Unprovoked	USA	Swimming	Left foot bitten 	0	1	0	0
1816	2002	Unprovoked	BRAZIL	Swimming	FATAL, body not recovered	1	0	0	0
1817	2002	Unprovoked	USA	Surfing	Left foot bitten	0	1	0	0
1818	2002	Unprovoked	USA	Surfing	Abrasions on right hand & deep laceration on middle finger	0	1	0	0
1819	2002	Unprovoked	USA	Surfing	Heel & back of right knee lacerated	0	1	0	0
1820	2002	Unprovoked	USA	Surfing	Left hand lacerated and abraded	0	1	0	0
1821	2002	Unprovoked	USA	Surfing	Right hand severely lacerated	0	1	0	0
1822	2002	Unprovoked	USA	Surfing	Left hand bitten	0	1	0	0
1823	2002	Unprovoked	USA	Fishing from Surfboard	No injury, surfboard bitten 	0	1	0	0
1824	2002	Provoked	USA	Fishing	Left thumb lacerated PROVOKED INCIDENT	0	1	0	0
1825	2002	Provoked	TONGA	Swimming	Thigh lacerated  PROVOKED INCIDENT	0	1	0	0
1826	2002	Unprovoked	USA	Boogie boarding or Surfing	 Ankle lacerated	0	1	0	0
1827	2002	Unprovoked	USA	Surfing	No injury	0	1	0	0
1828	2002	Unprovoked	BRAZIL	Swimming	Left thigh bitten, leg surgically amputated	0	1	0	0
1829	2002	Unprovoked	USA	Body boarding	No injury, shark fin seen just before board ripped away & dragged out to sea	0	1	0	0
1830	2002	Unprovoked	SOUTH AFRICA	Surf skiing	No injury	0	1	0	0
1831	2002	Unprovoked	USA	Boogie boarding	Bitten above & below right knee	0	1	0	0
