index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
0	2018	Boating	USA	Paddling	No injury to occupant, outrigger canoe and paddle damaged	0	0	1	0
1	2018	Unprovoked	USA	Standing	Minor injury to left thigh	0	1	0	0
2	2018	Invalid	USA	Surfing	Injury to left lower leg from surfboard skeg	0	0	0	1
3	2018	Unprovoked	AUSTRALIA	Surfing	Minor injury to lower leg	0	1	0	0
4	2018	Provoked	MEXICO	Free diving	Lacerations to leg & hand shark PROVOKED INCIDENT	0	1	0	0
5	2018	Unprovoked	AUSTRALIA	Kite surfing	No injury, board bitten	0	1	0	0
6	2018	Unprovoked	BRAZIL	Swimming	FATAL	1	0	0	0
7	2018	Unprovoked	USA	Fishing	Minor injury to foot. PROVOKED INCIDENT	0	1	0	0
8	2018	Unprovoked	USA	Walking	Lower left leg bitten	0	1	0	0
9	2018	Unprovoked	USA	Standing	Minor injury to foot	0	1	0	0
10	2018	Provoked	AUSTRALIA	Feeding sharks	Minor bite to hand by captive shark. PROVOKED INCIDENT	0	1	0	0
11	2018	Unprovoked	USA	Boogie boarding	Injuries to lower right leg and foot	0	1	0	0
12	2018	Unprovoked	USA	Swimming	Severe bite to right forearm	0	1	0	0
13	2018	Invalid	ENGLAND	Fishing	Injured by teeth of a dead porbeagle shark he was tossing overboard.	0	0	0	1
14	2018	Provoked	AUSTRALIA	Feeding sharks	Shallow lacerations to finger PROVOKED INCIDENT	0	1	0	0
15	2018	Unprovoked	SOUTH AFRICA	Surfing	Minor injury, marks on board	0	1	0	0
16	2018	Questionable	AUSTRALIA	Surfing	No injury, surfboard damaged	0	0	0	0
17	2018	Unprovoked	THAILAND	Swimming	Minor injury to ankle	0	1	0	0
18	2018	Unprovoked	COSTA RICA	Scuba diving	No injury, shark bit scuba gear	0	1	0	0
19	2018	Unprovoked	AUSTRALIA	Surfing	No injury, knocked off board by shark	0	1	0	0
20	2018	Questionable	AUSTRALIA	Surfing	No injury	0	0	0	0
21	2018	Unprovoked	AUSTRALIA	Surfing	No injury, knocked off board by shark	0	1	0	0
22	2018	Unprovoked	AUSTRALIA	Surfing	No injury, shark struck his leg	0	1	0	0
23	2018	Unprovoked	MALDIVES	Fishing	5-inch cut to hand	0	1	0	0
24	2018	Unprovoked	SOUTH AFRICA	Paddle-skiing	No injury, shark bit hole in ski	0	1	0	0
25	2018	Unprovoked	USA	Body boarding	Lacerations to right lower leg	0	1	0	0
26	2018	Unprovoked	THAILAND	Swimming	Lacerations to foot and ankle	0	1	0	0
27	2018	Unprovoked	BRAZIL	Swimming	Multiple severe injuries to arms and leg, leg subsequently surgically amputated	0	1	0	0
28	2018	Unprovoked	AUSTRALIA	Surfing	Laceration to right thigh	0	1	0	0
29	2018	Unprovoked	AUSTRALIA	Surfing	Lacerations to legs	0	1	0	0
30	2018	Unprovoked	BAHAMAS	Surfing	No Injury. Shark swam away with the surf board	0	1	0	0
31	2018	Invalid	BRAZIL	Fishing	Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. 	0	0	0	1
32	2018	Unprovoked	NEW CALEDONIA	Windsurfing	No injury, shark bit board	0	1	0	0
33	2018	Unprovoked	BAHAMAS	Swimming	2 puncture wounds to left foot, abrasion to right foot	0	1	0	0
34	2018	Unprovoked	SOUTH AFRICA	Surfing	Lacerations to left knee & lower leg	0	1	0	0
35	2018	Unprovoked	USA	Stand-Up Paddleboarding	Injuries to right leg & hand	0	1	0	0
36	2018	Unprovoked	AUSTRALIA	Wading	Minor injuries to legs	0	1	0	0
37	2018	Unprovoked	AUSTRALIA	Swimming	No injury, said to have been charged by sharks several times	0	1	0	0
38	2018	Unprovoked	AUSTRALIA	Surfing	Minor injury, ankle grazed	0	1	0	0
39	2018	Unprovoked	SOUTH AFRICA	Scuba Diving	 The shark & man simply collided; neither were injured	0	1	0	0
40	2018	Unprovoked	AUSTRALIA	Swimming	Laceratons to right leg & foot	0	1	0	0
41	2018	Provoked	AUSTRALIA	Kayak fishing for sharks	Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT	0	1	0	0
42	2018	Unprovoked	AUSTRALIA	Walking	Puncture wounds to leff foot & lower leg	0	1	0	0
43	2018	Invalid	AUSTRALIA	Swimming	Collision / No injury, no attack	0	0	0	1
44	2018	Invalid	BRAZIL	Cleaning fish	Lacerations to 4 toes of right foot	0	0	0	1
45	2018	Unprovoked	ECUADOR	Snorkeling	Injuries to right foot	0	1	0	0
46	2018	Invalid	AUSTRALIA	Spearfishing	"No injury no attack. This is considerd an ""encounter"""	0	0	0	1
47	2018	Unprovoked	AUSTRALIA		Injuries to right leg	0	1	0	0
48	2018	Unprovoked	NEW CALEDONIA	Spearfishing	Injuries to abdomen and arm	0	1	0	0
49	2018	Unprovoked	AUSTRALIA	Diving	Severe laceration to left forearm	0	1	0	0
50	2018	Unprovoked	AUSTRALIA	Free diving	No injury, shark took his swimfin	0	1	0	0
51	2018	Unprovoked	BRAZIL	Surfing	Minor injury to left forearm	0	1	0	0
52	2018	Unprovoked	AUSTRALIA	Surfing	Foot bitten	0	1	0	0
53	2017	Unprovoked	USA	Surfing	Severe lacerations to left thigh & knee	0	1	0	0
54	2017	Unprovoked	USA	Surfing	Foot bitten	0	1	0	0
55	2017	Provoked	MALAYSIA	Fishing / Wading	Minor injury to thigh, PROVOKED INCIDENT	0	1	0	0
56	2017	Unprovoked	BAHAMAS	Snorkeling	Minor injury to arm	0	1	0	0
57	2017	Unprovoked	COSTA RICA	Scuba Diving	Serious injury to leg	0	1	0	0
58	2017	Unprovoked	COSTA RICA	Scuba diving	FATAL	1	0	0	0
59	2017	Sea Disaster	LIBYA	2 boats capsized	FATAL	1	0	0	0
60	2017	Unprovoked	USA	Spearfishing	Right leg bitten	0	1	0	0
61	2017	Unprovoked	USA	Surfing	Heel bitten	0	1	0	0
62	2017	Unprovoked		Surfing	Puncture wounds to feet	0	1	0	0
63	2017	Unprovoked	AUSTRALIA	Surfing	Puncture wounds to left shoulder	0	1	0	0
64	2017	Unprovoked	CUBA	Night bathing	FATAL	1	0	0	0
65	2017	Unprovoked	AUSTRALIA	Snorkeling	Calf injured	0	1	0	0
66	2017	Unprovoked	AUSTRALIA	Surfing	Minor injury to foot	0	1	0	0
67	2017	Unprovoked	USA	Stand-Up Paddleboarding	No injury but shark bit SUP	0	1	0	0
68	2017	Unprovoked	MAURITIUS	Swimming	Minor injury to foot	0	1	0	0
69	2017	Unprovoked	USA	Surfing 	Lacerations to left foot	0	1	0	0
70	2017	Unprovoked	USA	Swimming	Severe lacerations to left hand & wrist	0	1	0	0
71	2017	Unprovoked	AUSTRALIA	Kayaking / Fishing	Minor injuries	0	1	0	0
72	2017	Unprovoked	NEW ZEALAND	Kayaking	No injury, shark shook kayak x3 	0	1	0	0
73	2017	Unprovoked	USA	Swimming	Puncture wounds & lacerations to foot	0	1	0	0
74	2017	Unprovoked	USA	Surfing	Lacerations to left hand	0	1	0	0
75	2017	Unprovoked	USA	Snorkeling	Abrasions	0	1	0	0
76	2017	Invalid	SOUTH AFRICA	Scuba Diving	FATAL	0	0	0	1
77	2017	Unprovoked	USA	Surfing	Lacerations to lower left leg and foot	0	1	0	0
78	2017	Unprovoked	AUSTRALIA	Surfing	No injury, board damaged by shark	0	1	0	0
79	2017	Invalid	USA	Surfing	Lacerations to right ankle, foot & toe	0	0	0	1
80	2017	Unprovoked	USA	Surfing	Laceration to upper arm	0	1	0	0
81	2017	Unprovoked	USA	Surfing	Minor lacerations to sole of left foot	0	1	0	0
82	2017	Unprovoked	SPAIN	Body surfing	Lacerations to right foot	0	1	0	0
83	2017	Unprovoked	USA	Surfing	Lacerations to left foot	0	1	0	0
84	2017	Invalid	SOUTH AFRICA	Scuba Diving	FATAL, but death was probably due to drowning	0	0	0	1
85	2017	Questionable	SAMOA	Fishing	Injuries to hands and legs	0	0	0	0
86	2017	Boating	AUSTRALIA	Fishing	sharks rammed boats, no injury to occupants	0	0	1	0
87	2017	Unprovoked	USA	Surfing	Lacerations to left foot	0	1	0	0
88	2017	Unprovoked	AUSTRALIA	Swimming	Minor injuries	0	1	0	0
89	2017	Unprovoked	AUSTRALIA	Surfing	Minor lacerations to right hip	0	1	0	0
90	2017	Unprovoked	SOLOMON ISLANDS	Spearfishing	Foot bitten	0	1	0	0
91	2017	Unprovoked	SOUTH AFRICA	Swimming, poaching abalone	FATAL	1	0	0	0
92	2017	Unprovoked	JAPAN	Surfing	Injury to ankle & feet	0	1	0	0
93	2017	Unprovoked	USA	Swimming	Lacerations to abdomen	0	1	0	0
94	2017	Unprovoked	USA	Swimming	Lacerations to foot	0	1	0	0
95	2017	Unprovoked	USA	Surfing	Minor injury to right hand	0	1	0	0
96	2017	Unprovoked	AUSTRALIA	Surfing	No injury, board bitten	0	1	0	0
97	2017	Unprovoked	USA	Wading	Leg injured	0	1	0	0
98	2017	Invalid	SPAIN	Swimming	Lacerations to left foot	0	0	0	1
99	2017	Unprovoked	NEW ZEALAND	Canoeing	No injury, shark bit canoe	0	1	0	0
100	2017	Unprovoked	USA	SUP	Not injured by shark but board bitten	0	1	0	0
101	2017	Unprovoked	BAHAMAS	Spearfishing	Hand injured	0	1	0	0
102	2017	Unprovoked	USA	Swimming	Minor cuts to sole & toes of left foot	0	1	0	0
103	2017	Unprovoked	EGYPT	Snorkeling	Bite to right leg/hip	0	1	0	0
104	2017	Provoked	USA	Fishing	Foot bitten by landed shark PROVOKED INCIDENT	0	1	0	0
105	2017	Boating	USA	Kayaking / Fishing	No injury, bow of kayak bitten	0	0	1	0
106	2017	Unprovoked	USA	Skimboarding	Lacerations to lower leg	0	1	0	0
107	2017	Invalid	USA	Swimming	Abrasions and cuts to sole of foot	0	0	0	1
108	2017	Unprovoked	USA		Bite to left thigh / minor injury	0	1	0	0
109	2017	Unprovoked	BAHAMAS	Snorkeling	Foot & ankle injured	0	1	0	0
110	2017	Unprovoked	BAHAMAS	Spearfishing	Severe lacerations to left hand	0	1	0	0
111	2017	Unprovoked	ST HELENA British overseas territory	Surfing	Torso bitten	0	1	0	0
112	2017	Unprovoked	USA		Minor injury to hand	0	1	0	0
113	2017	Unprovoked	SPAIN	Swimming	Abrasion to arm from shark's rough skin	0	1	0	0
114	2017	Unprovoked	USA		Foot bitten	0	1	0	0
115	2017	Invalid	USA	Swimming	Foot injured	0	0	0	1
116	2017	Boating	USA	Kayaking	No injury, kayak bitten	0	0	1	0
117	2017	Unprovoked	USA	SUP	No injury, shark bit paddleboard	0	1	0	0
118	2017	Unprovoked	USA	Surfing	Pulled off board by shark but no injury	0	1	0	0
119	2017	Unprovoked	AUSTRALIA	Surfing	Minor injury, grazed by shark	0	1	0	0
120	2017	Boating	USA	Kayaking	No injury, kayak bitten	0	0	1	0
121	2017	Unprovoked	USA	Swimming	Lower legs bitten	0	1	0	0
122	2017	Provoked	MEXICO	Fishing	Hand bitten by hooked shark PROVOKED INCIDENT	0	1	0	0
123	2017	Unprovoked	SOUTH AFRICA	Surfing	No injury, shark bit surfboard	0	1	0	0
124	2017	Invalid	COMOROS	Fishing	Skull found in shark, a probable drowning & scavenging	0	0	0	1
125	2017	Invalid	USA	Fishing	Arm injured by hook, not by a shark	0	0	0	1
126	2017	Unprovoked	USA	Swimming	Left foot bitten	0	1	0	0
127	2017	Unprovoked	USA	Surfing	1 to 2-inch laceration behind knee	0	1	0	0
128	2017	Unprovoked	USA	Swimming	Leg bitten	0	1	0	0
129	2017	Unprovoked	REUNION	Body boarding	No injury, shark bit surfboard 	0	1	0	0
130	2017	Unprovoked	SPAIN	Swimming	2-inch laceration to hand	0	1	0	0
131	2017	Unprovoked	FRENCH POLYNESIA	Surfing	Injuries to hand and wrist	0	1	0	0
132	2017	Unprovoked	BAHAMAS	Feeding sharks	Fingernail pulled off 	0	1	0	0
133	2017	Unprovoked	AUSTRALIA	Body boarding	No injury, board bitten	0	1	0	0
134	2017	Unprovoked	AUSTRALIA	Surfing	No injury, knocked off board	0	1	0	0
135	2017	Unprovoked	USA	Surfing	Laceration to left foot	0	1	0	0
136	2017	Unprovoked	UNITED KINGDOM	Surfing 	Bruise to leg, cuts to hand sustained when he hit the shark	0	1	0	0
137	2017	Unprovoked	USA	Spearfishing	Laceration to shin	0	1	0	0
138	2017	Unprovoked	BAHAMAS	Snorkeling	Right forearm severed 	0	1	0	0
139	2017	Provoked	USA	Touching a shark	Right hand bitten by hooked shark PROVOKED INCIDENT	0	1	0	0
140	2017	Unprovoked	USA	Feeding sharks	Lacerations to right arm	0	1	0	0
141	2017	Invalid	AUSTRALIA	Fishing 	Abrasion to right forearm from pectoral fin of a shark that leapt into his boat	0	0	0	1
142	2017	Unprovoked	UNITED ARAB EMIRATES	Spearfishing	Right leg severely bitten	0	1	0	0
143	2017	Provoked	AUSTRALIA	Attempting to lasso a shark	Thigh nipped PROVOKED INCIDENT	0	1	0	0
144	2017	Unprovoked	MEXICO	Snorkeling	FATAL	1	0	0	0
145	2017	Invalid	USA	Surfing	Laceration to thigh, likely caused by surfboard fin	0	0	0	1
146	2017	Unprovoked	USA	Swimming	Major injury to posterior thigh	0	1	0	0
147	2017	Unprovoked	SOUTH AFRICA	Surfing	Minor injury to right calf	0	1	0	0
148	2017	Unprovoked	USA	Surfing	Left foot bitten	0	1	0	0
149	2017	Unprovoked	REUNION	Body boarding	FATAL	1	0	0	0
150	2017	Unprovoked	NEW ZEALAND	Body boarding	Puncture wounds & laceration above knee	0	1	0	0
151	2017	Invalid	USA	Photo shoot	Alleged laceration to left ankle	0	0	0	1
152	2017	Unprovoked	ST HELENA British overseas territory	Snorkeling	Calf & foot bitten	0	1	0	0
153	2017	Invalid	USA	Swimming	Laceration & puncture wounds to left foot	0	0	0	1
154	2017	Unprovoked	USA		Minor bite to the foot	0	1	0	0
155	2017	Unprovoked	AUSTRALIA	Surfing	FATAL	1	0	0	0
156	2017	Unprovoked	USA	Surfing	Lower right leg severely injured	0	1	0	0
157	2017	Unprovoked	USA	Surfing	Lacerations to right foot	0	1	0	0
158	2017	Unprovoked	USA	Surfing	Lacerations to right foot	0	1	0	0
159	2017	Invalid	SOUTH AFRICA	Scuba Diving	Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.	0	0	0	1
160	2017	Unprovoked	USA	Surfing	Calf bitten	0	1	0	0
161	2017	Unprovoked	USA	Paddle boarding	Laceration to calf	0	1	0	0
162	2017	Unprovoked	USA	Swimming	Minor injury to left hand	0	1	0	0
163	2017	Unprovoked	USA	Swimming	Foot injured	0	1	0	0
164	2017	Unprovoked	USA	Swimming	Thigh nipped, minor injury	0	1	0	0
165	2017	Unprovoked	AUSTRALIA	Kakaying	No injury, shark bit off stern of kayak	0	1	0	0
166	2017	Unprovoked	USA	Swimming	Lacerations to thighs	0	1	0	0
167	2017	Unprovoked	USA	Surfing	Minor injury to left foot	0	1	0	0
168	2017	Unprovoked	AUSTRALIA	Body boarding	Minor	0	1	0	0
169	2017	Boating	USA	Kayaking	No injury, kayak bitten	0	0	1	0
170	2017	Unprovoked	PHILIPPINES	Spearfishing	Right thigh injured 	0	1	0	0
171	2017	Unprovoked	BAHAMAS	Washing hands	Abrasions & lacerations to left leg and hand	0	1	0	0
172	2017	Unprovoked	AUSTRALIA	Snorkeling	Hand bitten	0	1	0	0
173	2017	Unprovoked	AUSTRALIA	Surfing	No injury, shark struck board	0	1	0	0
174	2017	Unprovoked	REUNION	Body boarding	Fatal	1	0	0	0
175	2017	Unprovoked	AUSTRALIA	Spearfishing	Left leg severely bitten	0	1	0	0
176	2017	Unprovoked	USA	Swimming	Injury to hand	0	1	0	0
177	2017	Provoked	BRAZIL	Grabbing shark for a selfie	Minor injury to finger, PROVOKED INCIDENT	0	1	0	0
178	2017	Boating	SOUTH AFRICA	Kayak fishing	Shark damaged kayak, no injury to occupant	0	0	1	0
179	2017	Boating	USA	Tagging sharks	Shark bit boat, no injury to occupants	0	0	1	0
180	2017	Unprovoked	BAHAMAS	Scuba Diving	Lacerations to upper right arm	0	1	0	0
181	2017	Unprovoked	BRAZIL	Swimming	Minor laceration to ring finger	0	1	0	0
182	2017	Unprovoked	USA		Puncture wounds to lower arm or hand	0	1	0	0
183	2017	Unprovoked	AUSTRALIA	Scuba Diving	Multiple injuries to arm, wrist and torso	0	1	0	0
184	2017	Unprovoked	AUSTRALIA	Swimming	Injury to hand	0	1	0	0
185	2017	Unprovoked	USA		Minor injury to hand	0	1	0	0
186	2017	Unprovoked	INDONESIA	Surfing	Injury to right wrist & forearm	0	1	0	0
187	2017	Invalid	AUSTRALIA	Spearfishing	No attack, shark made a threat display	0	0	0	1
188	2017	Unprovoked	USA	Wading	Minor injuries to foot	0	1	0	0
189	2017	Invalid	AUSTRALIA	Wading	Minor injuries to foot & toes	0	0	0	1
190	2016	Unprovoked	USA	Surfing	Lacerations to right forearm	0	1	0	0
191	2016	Unprovoked	AUSTRALIA	Snorkeling	Buttock bitten	0	1	0	0
192	2016	Unprovoked	SOUTH AFRICA	Surf skiing 	No injury, but ski severely damaged	0	1	0	0
193	2016	Unprovoked	AUSTRALIA	Free diving	Punctures to left foot/ankle	0	1	0	0
194	2016	Unprovoked	FRENCH POLYNESIA	Fishing	Hand injured?	0	1	0	0
195	2016	Invalid	USA	Surfing	Cuts to right ankle & foot	0	0	0	1
196	2016	Provoked	AUSTRALIA	Surf fishing	Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT	0	1	0	0
197	2016	Unprovoked	AUSTRALIA	Surfing	Injuries to foot & arm	0	1	0	0
198	2016	Provoked	AUSTRALIA	Fishing	Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT	0	1	0	0
199	2016	Unprovoked	USA	Floating	Injuries to right calf and thigh	0	1	0	0
200	2016	Unprovoked	USA	Surfing	Lacerations to right foot and ankle	0	1	0	0
201	2016	Unprovoked	USA	Surfing	Lacerations to right hand	0	1	0	0
202	2016	Unprovoked	AUSTRALIA	Surfing	Lacerations to left thigh	0	1	0	0
203	2016	Unprovoked	USA	Surfing	Left arm and leg injured	0	1	0	0
204	2016	Unprovoked	AUSTRALIA	Surfing	Torso nipped	0	1	0	0
205	2016	Unprovoked	USA	Snorkeling	Injuries to left calf	0	1	0	0
206	2016	Invalid	MEXICO	Cage Diving	Shark breached cage, no injury to diver	0	0	0	1
207	2016	Unprovoked	AUSTRALIA	Surfing	Minor wound to lower right leg & surfboard bitten	0	1	0	0
208	2016	Unprovoked	USA	Surfing	Wounds to upper thigh and lower leg	0	1	0	0
209	2016	Unprovoked	USA	Surfing	Cuts to dorsal surface of left foot	0	1	0	0
210	2016	Unprovoked	USA	Surfng	Minor injuries	0	1	0	0
211	2016	Unprovoked	AUSTRALIA	Surfing	4 deep lacerations to thigh	0	1	0	0
212	2016	Unprovoked	USA	Surfing	Minor injury to thigh	0	1	0	0
213	2016	Unprovoked	USA	Surfing	Lacerations to hands	0	1	0	0
214	2016	Unprovoked	USA	Surfing	Lacerations to lower leg	0	1	0	0
215	2016	Unprovoked	USA	Surfing	No injury, board bitten	0	1	0	0
216	2016	Unprovoked	AUSTRALIA	Surfing	Struck by fin on chest & leg	0	1	0	0
217	2016	Unprovoked	AUSTRALIA	Surfing	No injury: Knocked off board by shark	0	1	0	0
218	2016	Boating	AUSTRALIA	Fishing	Shark rammed boat. No injury to occupant	0	0	1	0
219	2016	Unprovoked	USA	Wading	Minor injury to arm	0	1	0	0
220	2016	Unprovoked	USA	Swimming	Severe lacerations to shoulder & forearm	0	1	0	0
221	2016	Unprovoked	NEW CALEDONIA	Kite surfing	FATAL	1	0	0	0
222	2016	Unprovoked	USA	Boogie boarding	Lacerations & punctures to lower right leg	0	1	0	0
223	2016	Unprovoked	AUSTRALIA	Surfing	No inury, board broken in half by shark	0	1	0	0
224	2016	Unprovoked	USA	Body boarding	Foot bitten	0	1	0	0
225	2016	Unprovoked	USA	Spearfishing	Two toes broken & lacerated	0	1	0	0
226	2016	Invalid	MEXICO	Cage Diving	No injury to divers, white shark breached cage	0	0	0	1
227	2016	Unprovoked	USA	Surfing	Lacerations to right foot	0	1	0	0
228	2016	Unprovoked	USA	Surfing	Minor injury to ankle	0	1	0	0
229	2016	Unprovoked	REUNION	Surfing	Right arm severed, ankle severely bitten 	0	1	0	0
230	2016	Unprovoked	USA	Wading	Minor injury to ankle	0	1	0	0
231	2016	Unprovoked	BAHAMAS	Snorkeling	Lacerations to left leg	0	1	0	0
232	2016	Unprovoked	USA	SUP Foil boarding	No inury, shark & board collided	0	1	0	0
233	2016	Unprovoked	USA	Surfing	Big toe bitten	0	1	0	0
234	2016	Unprovoked	SPAIN	Swimming	Lacerations to right hand	0	1	0	0
235	2016	Unprovoked	CHINA	Swimming	Lacerations to leg	0	1	0	0
236	2016	Boating	AUSTRALIA	Kayaking	No injury, shark nudged kayak repeatedly	0	0	1	0
237	2016	Provoked	USA	Lobstering	Laceration to left forearm PROVOKED INCIDENT	0	1	0	0
238	2016	Unprovoked	AUSTRALIA	Surfing	No injury. Leg rope severed, knocked off board by shark	0	1	0	0
239	2016	Unprovoked	JAPAN	Surfing	Lacerations to left leg	0	1	0	0
240	2016	Unprovoked	AUSTRALIA	Surfing	Calf bumped but no injury	0	1	0	0
241	2016	Unprovoked	BAHAMAS	Spearfishing	Lacerations to face and right leg	0	1	0	0
242	2016	Provoked	AUSTRALIA	Fishing	Laceration to left calf from hooked shark PROVOKED INCIDENT	0	1	0	0
243	2016	Boating	USA	Fishing in Alabama Deep Fishing Rodeo	No injury, shark bit trolling motor	0	0	1	0
244	2016	Unprovoked	USA	Surfing	Minor injury to leg	0	1	0	0
245	2016	Unprovoked	USA		Minor injury to toes	0	1	0	0
246	2016	Unprovoked	USA	Kite surfing	No injury, board damaged	0	1	0	0
247	2016	Unprovoked	USA	Swimming	Puncture wounds to foot	0	1	0	0
248	2016	Unprovoked	BAHAMAS	Scuba Diving	Face bruised when partly blind shark collided with him	0	1	0	0
249	2016	Unprovoked	SPAIN	Wading	5 tiny puncture marks to lower leg, treated with hydrogen peroxide	0	1	0	0
250	2016	Boating	USA	Fishing for squid	No injury. Hull bitten, tooth fragment recovered	0	0	1	0
251	2016	Provoked	USA	Fishing	Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT	0	1	0	0
252	2016	Boating	USA	Fishing for sharks	No injury. Hull bitten, tooth fragment recovered	0	0	1	0
253	2016	Unprovoked	USA	Swimming	Buttocks, thigh, left hand & wrist injured	0	1	0	0
254	2016	Provoked	AUSTRALIA	Fishing	Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT	0	1	0	0
255	2016	Unprovoked	USA		Minor injury	0	1	0	0
256	2016	Unprovoked	USA	Surfing	Foot injured	0	1	0	0
257	2016	Unprovoked	COLUMBIA	Scuba Diving	Severe bite to right hand	0	1	0	0
258	2016	Unprovoked	SOUTH AFRICA	Spearfishing	Injuries to left leg & right hand	0	1	0	0
259	2016	Unprovoked	USA	Floating	Lacerations and punctures to foot	0	1	0	0
260	2016	Unprovoked	USA	Wading	Injuries to right calf	0	1	0	0
261	2016	Unprovoked	USA	Surfing	Single puncture wound to arm	0	1	0	0
262	2016	Provoked	AUSTRALIA	Spearfishing	No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT	0	1	0	0
263	2016	Unprovoked	USA	Floating in tube	Injury to lower leg	0	1	0	0
264	2016	Unprovoked	USA	Standing	Laceration to wrist	0	1	0	0
265	2016	Invalid	USA	Surfing	No injury, board damaged	0	0	0	1
266	2016	Unprovoked	USA	Swimming	Leg bitten	0	1	0	0
267	2016	Unprovoked	AUSTRALIA	Diving	FATAL	1	0	0	0
268	2016	Unprovoked	EGYPT	Swimming	Leg severely bitten, surgically amputated	0	1	0	0
269	2016	Unprovoked	AUSTRALIA	Spearfishing	No injury, but sharks repeatedly hit their fins and guns	0	1	0	0
270	2016	Unprovoked	NEW CALEDONIA	Kite surfing	Laceration to heel	0	1	0	0
271	2016	Unprovoked	AUSTRALIA	Surfing	FATAL	1	0	0	0
272	2016	Unprovoked	USA	Swimming	Injuries to arm and shoulder	0	1	0	0
273	2016	Unprovoked	USA	Swimming	Injury to posterior right leg	0	1	0	0
274	2016	Unprovoked	USA	Swimming	Puncture wounds to thigh	0	1	0	0
275	2016	Unprovoked	USA	Swimming	Lacerations and puncture wounds to foot and ankle	0	1	0	0
276	2016	Unprovoked	USA	Swimming	Back, arm & hand injured	0	1	0	0
277	2016	Unprovoked	USA	Swimming	Ankle bitten	0	1	0	0
278	2016	Provoked	USA	Teasing a shark	Arm grabbed PROVOKED INCIDENT	0	1	0	0
279	2016	Unprovoked	USA	Floating	Minor lacerations to right shoulder	0	1	0	0
280	2016	Provoked	NEW ZEALAND	Fishing	Foot bitten by landed shark PROVOKED INCIDENT	0	1	0	0
281	2016	Unprovoked	INDONESIA	Surfing	Elbow bitten	0	1	0	0
282	2016	Unprovoked	USA	Surfing	Minor injury to left foot	0	1	0	0
283	2016	Unprovoked	SOUTH AFRICA	Surf-skiing	No injury, surf-ski bitten	0	1	0	0
284	2016	Unprovoked	AUSTRALIA	Swimming	Minor puncture wound to foot	0	1	0	0
285	2016	Provoked	FRENCH POLYNESIA	Spearfishing	Laceration to knee by speared shark PROVOKED INCIDENT	0	1	0	0
286	2016	Provoked	FRENCH POLYNESIA	Spearfishing	Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT	0	1	0	0
287	2016	Unprovoked	USA	Spearfishing	Multiple bites to right arm	0	1	0	0
288	2016	Unprovoked	NEW CALEDONIA	Walking	FATAL	1	0	0	0
289	2016	Invalid	CAPE VERDE		"""Serious"""	0	0	0	1
290	2016	Unprovoked	USA	Fishing	Left hand bitten	0	1	0	0
291	2016	Invalid	USA	SUP	Fell off board when spinner shark leapt from the water next to him. No injury to surfer	0	0	0	1
292	2016	Unprovoked	USA	Snorkeling	Minor injury to left foot	0	1	0	0
293	2016	Unprovoked	AUSTRALIA	Surfing	Severe injury to thigh	0	1	0	0
294	2016	Unprovoked	USA		Minor injury to arm. Possibly caused by smalll nurse shark	0	1	0	0
295	2016	Unprovoked	AUSTRALIA	Surfing	No injury, board dented	0	1	0	0
296	2016	Provoked	BAHAMAS		Minor injury to chest PROVOKED INCIDENT	0	1	0	0
297	2016	Invalid	USA	Surfing	Board reportedly bumped by shark. No injury	0	0	0	1
298	2016	Unprovoked	USA	Body surfing	Lacerations to right foot and ankle	0	1	0	0
299	2016	Unprovoked	Fiji	Diving for beche-de-mer	FATAL	1	0	0	0
300	2016	Unprovoked	USA		Superficial injury to foot	0	1	0	0
301	2016	Unprovoked	AUSTRALIA	Fishing	Puncture wounds to right calf	0	1	0	0
302	2016	Unprovoked	BRAZIL	Swimming	Minor injury to head	0	1	0	0
303	2016	Unprovoked	NEW CALEDONIA	Kite surfing	Puncture wounds to right thigh	0	1	0	0
304	2016	Unprovoked	NEW CALEDONIA	Spearfishing	Forearm bitten	0	1	0	0
305	2016	Unprovoked	DOMINICAN REPUBLIC	Wading	Avulsion injury to lower leg	0	1	0	0
306	2016	Invalid	CAYMAN ISLANDS	Feeding stingrays?	Minor injury to wrist from Southern stingray	0	0	0	1
307	2016	Invalid	AUSTRALIA	Surfing	No injury, knocked off board	0	0	0	1
308	2016	Unprovoked	AUSTRALIA	Walking	Foot nipped	0	1	0	0
309	2016	Unprovoked	AUSTRALIA	Windsurfing	No injury, shark bit board	0	1	0	0
310	2016	Unprovoked	BRAZIL	Swimming	Lacerations to scalp	0	1	0	0
311	2016	Boating	SOUTH AFRICA	Kayak fishing	No injury, shark capsized kayak	0	0	1	0
312	2016	Unprovoked	USA	Surfing	Lacerations to both hands	0	1	0	0
313	2016	Unprovoked	USA	Surfing	No injury	0	1	0	0
